"author","birth","death","wikipageid","books","bio"
"Susan Orlean",1955-10-31,,569449,"The Orchid Thief","Susan Orlean (born October 31, 1955) is an American journalist and author. She has been a staff writer for The New Yorker since 1992, and has contributed articles to many magazines including Vogue, Rolling Stone, Esquire, and Outside. She is best known as the author of the 1998 book The Orchid Thief, which was adapted into the film Adaptation (2002). Meryl Streep received an Academy Award nomination for her performance as Orlean."
"Rhys Adrian",1928-02-28,1990-02-08,26148413,"The Foxtrot","Rhys Adrian Griffiths (28 February 1928 – 8 February 1990) was a British playwright and screenwriter. He is best known for his radio plays, which are characterised by their emphasis upon dialogue rather than narrative."
"Iris Marion Young",1949-01-02,2006-08-01,4213262,"Inclusion and Democracy","Iris Marion Young (2 January 1949 – 1 August 2006) was Professor of Political Science at the University of Chicago, and affiliated with the Center for Gender Studies and the Human Rights program there. Her research covered contemporary political theory, feminist social theory, and normative analysis of public policy."
"Mary Doria Russell",1950-08-19,,180964,"The Sparrow (novel)|Children of God (novel)","Mary Doria Russell (born August 19, 1950) is an American writer of speculative fiction novels."
"John Ashbery",1927-07-28,,258736,"Chinese Whispers (Ashbery book)|Where Shall I Wander|The Tennis Court Oath (book)|Planisphere (book)|Self-portrait in a Convex Mirror (book)|Flow Chart|Hotel Lautréamont|Girls on the Run (poem)","John Lawrence Ashbery (born July 28, 1927) is an American poet. He has published more than twenty volumes of poetry and won nearly every major American award for poetry, including a Pulitzer Prize in 1976 for his collection Self-Portrait in a Convex Mirror. Renowned for its postmodern complexity and opacity, Ashbery's work still proves controversial. Ashbery has stated that he wishes his work to be accessible to as many people as possible, and not to be a private dialogue with himself. At the same time, he once joked that some critics still view him as ""a harebrained, homegrown surrealist whose poetry defies even the rules and logic of Surrealism."" Langdon Hammer, chairman of the English Department at Yale University, wrote in 2008, ""No figure looms so large in American poetry over the past 50 years as John Ashbery"" and ""No American poet has had a larger, more diverse vocabulary, not Whitman, not Pound."" Stephen Burt, a poet and Harvard professor of English, has compared Ashbery to T. S. Eliot, calling Ashbery ""the last figure whom half the English-language poets alive thought a great model, and the other half thought incomprehensible""."
"Bonnie Burnard",1945-01-15,,252844,"A Good House","Bonnie Burnard (born January 15, 1945, in Petrolia, Ontario) is a Canadian novelist. She grew up in Forest, Ontario, lived much of her life in Saskatchewan, and now lives in London, Ontario."
"M. T. Vasudevan Nair",1933-08-09,,872828,"Asuravithu (novel)|Randamoozham|Naalukettu (novel)|Manju (novel)","Madathil Thekkepaattu Vasudevan Nair (born 9 August 1933), popularly known as MT, is an Indian author, screenplay writer and film director. He is a prolific and versatile writer in modern Malayalam literature, and is one of the masters of post-Independence Indian literature. He was born in Kudallur, a small village in the present day Palakkad district (Palghat), which was under the Malabar District in the Madras Presidency of the British Raj. He shot into fame at the age of 20 when, as a chemistry undergraduate, he won the prize for the best short story in Malayalam at World Short Story Competition conducted by The New York Herald Tribune. His debut novel Naalukettu (Ancestral Home- translated to English as The Legacy), wrote at the age of 23, won the Kerala Sahitya Akademi Award in 1958. His other novels include Manju (Mist), Kaalam (Time), Asuravithu (The Prodigal Son - translated to English as The Demon Seed) and Randamoozham (The Second Turn). The deep emotional experiences of his early days have gone into the making of MT's novels. Most of his works are oriented towards the basic Malayalam family structure and culture and many of them were path-breaking in the history of Malayalam literature. His three seminal novels on life in the matriarchal family in Kerala are Naalukettu, Asuravithu, and Kaalam. Randamoozham, which retells the story of the Mahabharatha from the point of view of Bhimasena, is widely credited as his masterpiece. M. T. Vasudevan Nair is a script writer and director of Malayalam films. He has directed seven films and written the screenplay for around 54 films. He won the National Film Award for Best Screenplay four times for: Oru Vadakkan Veeragatha (1989), Kadavu (1991), Sadayam (1992), and Parinayam (1994), which is the most by anyone in the screenplay category. He was awarded the highest literary award in India, Jnanpith, in 1995 for his overall contribution to Malayalam literature. In 2005, India's third highest civilian honour Padma Bhushan was awarded to him. He has won numerous other awards and recognition including Sahitya Akademi Award, Kerala Sahitya Akademi Award, Vayalar Award, Vallathol Award, Ezhuthachan Award and Mathrubhumi Literary Award. He was awarded the J.C. Daniel Award for lifetime achievement in Malayalam cinema for the year 2013. He served as the editor of Mathrubhumi Illustrated Weekly for several years."
"Radoje Domanović",1873-02-16,1908-08-17,1645113,"The Bizarre Country","Radoje Domanović (Serbian Cyrillic: Радоје Домановић) (February 16, 1873 - August 17, 1908) was a Serbian writer and teacher, most famous for his satirical short stories. His few remaining years were a constant fight against consumption. This circumstance of his life, and the affection which he inspired in all who knew him, added something essentially romantic in the true sense in the man himself, have tended to surround Domanović and his work with an aura of sentiment which somewhat obscured the character of his actual accomplishment."
"Gayle Friesen","1960",,15516679,"Men of Stone","Gayle Friesen (born September 18, 1960) is a Canadian author of young adult novels. She was raised in Chilliwack, British Columbia. She has a B.A. from the University of British Columbia. She is married with two children. Friesen's first novel Janey's Girl (1998) was critically acclaimed, winning the Canadian Library Association's Young Adult Book Award and the Red Maple Reading Award. It was also nominated for the Governor General’s Literary Award. She has written four other novels for young adults."
"Margaret Clark (writer)",1942-04-20,,35131112,"Fat Chance (Margaret Clark novel)|Snap! (Aussie Bites)|Pop! (Aussie Bites)","Margaret Clark is an Australian children's author. Some of her most famous works are the Aussie Angels series and the young-adult novel Fat Chance."
"Owen Jones (writer)",1984-08-08,,33094035,"The Establishment: And How They Get Away With It","Owen Jones (born 8 August 1984) is a British columnist, author, commentator and political activist from a democratic socialist perspective. He is a columnist for The Guardian and, since 2015, for the New Statesman, and a former contributor to The Independent. He has also set up a YouTube channel whereby he uploads videos and interviews, some of which appear on the official website of the Guardian."
"David Eddings",1931-07-07,2009-06-02,53201,"Belgarath the Sorcerer|Polgara the Sorceress|Regina's Song|The Belgariad|The Dreamers (novel series)|The Elenium|The Malloreon|The Redemption of Althalus|The Rivan Codex|The Tamuli|High Hunt","David Eddings (July 7, 1931 – June 2, 2009) was an American fantasy writer. With his wife Leigh, he authored several best-selling epic fantasy novel series, including The Belgariad (1982–84), The Malloreon (1987–91), The Elenium (1989–91), The Tamuli (1992–94) and The Dreamers (2003–06)."
"Nava Macmel-Atir",1964-08-27,,47725635,"Ot me-Avshalom","Nava Macmel-Atir (Hebrew: נאוה מקמל-עתיר) (born 27 August 1964) is a prominent Israeli author, playwright and poet. She is best known for having written the books Adi's Jewel (Hebrew: העדי של עדי) and Ot me-Avshalom (Hebrew: אות מאבשלום), which became a bestseller and has earned Macmel-Atir numerous commemorations and awards."
"José Lezama Lima",1910-12-19,1976-08-09,720932,"Paradiso (novel)","José Lezama Lima (December 19, 1910 – August 9, 1976) was a Cuban writer and poet who is considered one of the most influential figures in Latin American literature."
"Felix Gilman",1974-11-11,,23992799,"The Half-Made World","Felix John Gilman (11 November 1974 in London) is a writer of fantasy and weird fiction. His 2007 novel Thunderer (published by Bantam Spectra) was nominated for the 2009 Locus Award for Best First Novel, and earned him a nomination for the John W. Campbell Award for Best New Writer in both 2009 and 2010."
